query,article_id,article_title,neural_score,rank,is_correct
equality before law,371D,371D. Special provisions with respect to the state of Andhra Pradesh,-10.523387892150879,28,0
equality before law,41,"41. Right to work, to education and to public assistance in certain cases The State shall, within the limits of its economic capacity and development, make effective provision for securing the right to work, to education and to public assistance in cases of unemployment, old age, sickness and disablement, and in other cases of undeserved want",-10.558770234680177,29,0
equality before law,11,11. Parliament to regulate the right of citizenship by law Nothing in the foregoing provisions of this Part shall derogate from the power of Parliament to make any provision with respect to the acquisition and termination of citizenship and all other matters relating to citizenship PART III FUNDAMENTAL RIGHTS General,-10.599946849060059,30,0
equality before law,131,"131. Original jurisdiction of the Supreme Court Subject to the provisions of this Constitution, the Supreme Court shall, to the exclusion of any other court, have original jurisdiction in any dispute",-10.632114392089843,31,0
equality before law,312,312. All India Services,-10.671266326904297,32,0
equality before law,323B,323B. Tribunals for other matters,-10.686079138183594,33,0
equality before law,371F,"371F. Special provisions with respect to the State of Sikkim Notwithstanding anything in this Constitution,",-10.888693307495117,34,0
equality before law,340,340. Appointment of a Commission to investigate the conditions of backward classes,-10.910267706298828,35,0
equality before law,262,262. Adjudication of disputes relating to waters of inter State rivers or river valleys,-10.961261071777344,36,0
equality before law,320,320. Functions of Public Service Commissions,-11.00205713043213,37,0
equality before law,42,42. Provision for just and humane conditions of work and maternity relief The State shall make provision for securing just and humane conditions of work and for maternity relief,-11.022976094055176,38,0
equality before law,51,51. Promotion of international peace and security The State shall endeavour to,-11.046264523315429,39,0
equality before law,300,300. Suits and proceedings,-11.193817581176758,40,0
abolition of untouchability,17,17. Abolition of Untouchability Untouchability is abolished and its practice in any form is forbidden The enforcement of any disability arising out of Untouchability shall be an offence punishable in accordance with law,10.29550718536377,1,1
abolition of untouchability,18,"18. Abolition of titles No title, not being a military or academic distinction, shall be conferred by the State No citizen of India shall accept any title from any foreign State No person who is not a citizen of India shall, while he holds any office of profit or trust under the State, accept without the consent of the President any title from any foreign State No person holding any office of profit or trust under the State shall, without the consent of the President, accept any present, emolument, or office of any kind from or under any foreign State Right to Freedom",-3.207563447570801,2,0
abolition of untouchability,169,169. Abolition or creation of Legislative Councils in States,-5.731216255187988,3,0
abolition of untouchability,363,363. A Recognition granted to Rulers of Indian States to cease and privy purses to be abolished Notwithstanding anything in this Constitution or in any law for the time being in force,-7.485392504882812,4,0
abolition of untouchability,19,19. Protection of certain rights regarding freedom of speech etc,-9.032362811279297,5,0
abolition of untouchability,395,"395. Repeals The Indian Independence Act, 1947 , and the Government of India Act, 1935 , together with all enactment s amending or supplementing the latter Act, but not including the Abolition of Privy Council Jurisdiction Act, 1949 , are hereby repealed FIRST SCHEDULE Articles 1 and 4 I THE STATES Name Territories",-9.075610166931153,6,0
abolition of untouchability,356,356. Provisions in case of failure of constitutional machinery in State,-9.429644772338868,7,0
abolition of untouchability,21,21. Protection of life and personal liberty No person shall be deprived of his life or personal liberty except according to procedure established by law,-9.654985829162598,8,0
abolition of untouchability,14,"14. Equality before law The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth",-9.80343887939453,9,0
abolition of untouchability,372,372. Continuance in force of existing laws and their adaptation,-10.187306666564941,10,0
abolition of untouchability,360,360. Provisions as to financial emergency,-10.344111624145508,11,0
abolition of untouchability,31A,"31A. Saving of laws providing for acquisition of estates, etc ( 1 ) Notwithstanding anything contained in Article 13, no law providing for",-10.497752000427246,12,0
abolition of untouchability,31B,"31B. Validation of certain Acts and Regulations Without prejudice to the generality of the provisions contained in Article 31A, none of the Acts and Regulations specified in the Ninth Schedule nor any of the provisions thereof shall be deemed to be void, or ever to have become void, on the ground that such Act, Regulation or provision is inconsistent with, or takes away or abridges any of the rights conferred by, any provisions of this Part, and notwithstanding any judgment, decree or order of any court or tribunal to the contrary, each of the said Acts and Regulations shall, subject to the power of any competent Legislature to repeal or amend it, continue in force",-10.608280810546875,13,0
abolition of untouchability,352,352. Proclamation of Emergency,-10.68789462890625,14,0
abolition of untouchability,34,"34. Restriction on rights conferred by this Part while martial law is in force in any area Notwithstanding anything in the foregoing provisions of this Part, Parliament may by law indemnify any person in the service of the Union or of a State or any other person in respect of any act done by him in connection with the maintenance or restoration of order in any area within the territory of India where martial law was in force or validate any sentence passed, punishment inflicted, forfeiture ordered or other act done under martial law in such area",-10.751232290649414,15,0
abolition of untouchability,31C,"31C. Saving of laws giving effect to certain directive principles Notwithstanding anything contained in Article 13, no law giving effect to the policy of the State towards securing all or any of the principles laid down in Part IV shall be deemed to be void on the ground that it is inconsistent with, or takes away or abridges any of the rights conferred by Article 14 or Article 19 and no law containing a declaration that it is for giving effect to such policy shall be called in question in any court on the ground that it does not give effect to such policy: Provided that where such law is made by the Legislature of a State, the provisions of this Article shall not apply thereto unless such law, having been reserved for the consideration of the President, has received his assent Right to Constitutional Remedies",-10.76104792175293,16,0
abolition of untouchability,359,359. Suspension of the enforcement of the rights conferred by Part III during emergencies,-10.899039079284668,17,0
abolition of untouchability,311,"311. Dismissal, removal or reduction in rank of persons employed in civil capacities under the Union or a State",-10.957316082763672,18,0
abolition of untouchability,13,13. Laws inconsistent with or in derogation of the fundamental rights,-11.007838439941406,19,0
abolition of untouchability,49,"49. Protection of monuments and places and objects of national importance It shall be the obligation of the State to protect every monument or place or object of artistic or historic interests, declared by or under law made by Parliament to be of national importance, from spoliation, disfigurement, destruction, removal, disposal or export, as the case may be",-11.224151557922363,20,0
abolition of untouchability,300,"300. A Persons not to be deprived of property save by authority of law No person shall be deprived of his property save by authority of law PART XIII TRADE, COMMERCE AND INTERCOURSE WITHIN THE TERRITORY OF INDIA",-11.277767004394532,21,0
abolition of untouchability,392,392. Power of the President to remove difficulties,-11.309007048034667,22,0
abolition of untouchability,37,"37. Application of the principles contained in this Part The provisions contained in this Part shall not be enforceable by any court, but the principles therein laid down are nevertheless fundamental in the governance of the country and it shall be the duty of the State to apply these principles in making laws",-11.352145056152343,23,0
abolition of untouchability,317,317. Removal and suspension of a member of a Public Service Commission,-11.356692218017578,24,0
abolition of untouchability,305,"305. Saving of existing laws and laws providing for State monopolies Nothing in Articles 301 and 303 shall affect the provisions of any existing law except in so far as the President may be order otherwise direct; and nothing in Article 301 shall affect the operation of any law made before the commencement of the Constitution (Fourth Amendment) Act, 1955 , in so far as it relates to, or prevent Parliament or the Legislature of a State from making any law relating to, any such matter as is referred to in sub clause (ii) of clause ( 6 ) of Article 19",-11.390546266174317,25,0
abolition of untouchability,239B,239B. Power of administrator to promulgate Ordinances during recess of Legislature,-11.414624519348145,26,0
abolition of untouchability,372,372. A Power of the President to adapt laws,-11.416557861328124,27,0
abolition of untouchability,255,"255. Requirements as to recommendations and previous sanctions to be regarded as matters of procedure only No Act of Parliament or of the legislature of a State and no provision in any such Act, shall be invalid by reason only that some recommendation or previous sanction required by this Constitution was not given, if assent to that Act was given",-11.465587774658204,28,0
abolition of untouchability,257,257. A Assistance to States by deployment of armed forces or other forces of the Union Omitted,-11.471717317199706,29,0
abolition of untouchability,72,"72. Power of President to grant pardons, etc, and to suspend, remit or commute sentences in certain cases",-11.48980303955078,30,0
abolition of untouchability,289,289. Exemption of property and income of a State from Union taxation,-11.50849234008789,31,0
abolition of untouchability,285,285. Exemption of property of the Union from State taxation,-11.527095153808594,32,0
abolition of untouchability,329,329. Bar to interference by courts in electoral matters Notwithstanding anything in this Constitution,-11.561086389160156,33,0
abolition of untouchability,61,61. Procedure for impeachment of the President,-11.6503281539917,34,0
abolition of untouchability,233,"233. A Validation of appointments of, and judgments, etc, delivered by, certain district judges Notwithstanding any judgment, decree or order of any court,",-11.67987187652588,35,0
abolition of untouchability,123,123. Power of President to promulgate Ordinances during recess of Parliament,-11.687365060424804,36,0
abolition of untouchability,319,319. Prohibition as to the holding of offices by members of Commission on ceasing to be such members On ceasing to hold office,-11.708339813232422,37,0
abolition of untouchability,358,358. Suspension of provisions of Article 19 during emergencies,-11.731577407836914,38,0
abolition of untouchability,361,361. Protection of President and Governors and Rajpramukhs,-11.735134182739257,39,0
abolition of untouchability,371A,371A. Special provision with respect to the State of Nagaland,-12.804597700500489,40,0
freedom of religion,25,"25. Freedom of conscience and free profession, practice and propagation of religion",5.064859417724609,1,1
freedom of religion,26,"26. Freedom to manage religious affairs Subject to public order, morality and health, every religious denomination or any section thereof shall have the right",4.688785931396485,2,0
freedom of religion,28,28. Freedom as to attendance at religious instruction or religious worship in certain educational institutions,3.330943455123901,3,0
freedom of religion,27,"27. Freedom as to payment of taxes for promotion of any particular religion No person shall be compelled to pay any taxes, the proceeds of which are specifically appropriated in payment of expenses for the promotion or maintenance of any particular religion or religions denomination",3.172287651824951,4,0
freedom of religion,15,"15. Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth",-2.6834011669158935,5,0
freedom of religion,19,19. Protection of certain rights regarding freedom of speech etc,-3.47424327583313,6,0
freedom of religion,16,16. Equality of opportunity in matters of public employment,-5.050656803894043,7,0
freedom of religion,29,29. Protection of interests of minorities,-5.228650360870361,8,0
freedom of religion,30,30. Right of minorities to establish and administer educational institutions,-5.742051466369629,9,0
freedom of religion,21,21. Protection of life and personal liberty No person shall be deprived of his life or personal liberty except according to procedure established by law,-5.887515469360352,10,0
freedom of religion,14,"14. Equality before law The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth",-6.0663811935424805,11,0
freedom of religion,51A,"51A. Fundamental duties It shall be the duty of every citizen of India (a) to abide by the Constitution and respect its ideals and institutions, the national Flag and the National Anthem;",-6.963974554443359,12,0
freedom of religion,301,"301. Freedom of trade, commerce and intercourse Subject to the other provisions of this Part, trade, commerce and intercourse throughout the territory of India shall be free",-7.0833439437866215,13,0
freedom of religion,325,"325. No person to be ineligible for inclusion in, or to claim to be included in a special, electoral roll on grounds of religion, race, caste or sex There shall be one general electoral roll for every territorial constituency for election to either House of Parliament or to the House or either House of the Legislature of a State and no person shall be ineligible for inclusion in any such roll or claim to be included in any special electoral roll for any such constituency on grounds only of religion, race, caste, sex or any of them",-7.166571325683594,14,0
freedom of religion,18,"18. Abolition of titles No title, not being a military or academic distinction, shall be conferred by the State No citizen of India shall accept any title from any foreign State No person who is not a citizen of India shall, while he holds any office of profit or trust under the State, accept without the consent of the President any title from any foreign State No person holding any office of profit or trust under the State shall, without the consent of the President, accept any present, emolument, or office of any kind from or under any foreign State Right to Freedom",-8.055722283935546,15,0
freedom of religion,194,"194. Powers, privileges, etc, of the House of Legislatures and of the members and committees thereof",-8.865023362731934,16,0
freedom of religion,23,23. Prohibition of traffic in human beings and forced labour,-8.943309141540528,17,0
freedom of religion,105,"105. Powers, privileges, etc of the Houses of Parliament and of the members and committees thereof",-9.025555032348633,18,0
freedom of religion,302,"302. Power of Parliament to impose restrictions on trade, commerce and intercourse Parliament may by law impose such restrictions on the freedom of trade, commerce or intercourse between one State and another or within any part of the territory of India as may be required in the public interest",-9.091054885864258,19,0
freedom of religion,32,32. Remedies for enforcement of rights conferred by this Part,-9.201710162353516,20,0
freedom of religion,17,17. Abolition of Untouchability Untouchability is abolished and its practice in any form is forbidden The enforcement of any disability arising out of Untouchability shall be an offence punishable in accordance with law,-9.398787744140625,21,0
freedom of religion,20,20. Protection in respect of conviction for offences,-9.399035005187988,22,0
freedom of religion,304,"304. Restrictions on trade, commerce and intercourse among States Notwithstanding anything in Article 301 or Article 303, the Legislature of a State may by law",-9.4682880859375,23,0
freedom of religion,371A,371A. Special provision with respect to the State of Nagaland,-10.1539810546875,24,0
freedom of religion,371G,"371G. Special provision with respect to the State of Mizoram Notwithstanding anything in this Constitution,",-10.157122361755372,25,0
freedom of religion,69,"69. Oath or affirmation by the Vice President Every Vice President shall, before entering upon his office, make and subscribe before the President, or some person appointed in that behalf by him, an oath or affirmation in the following form, that is to say swear in the name of God I, A B, do that solemnly affirm will bear true faith, and allegiance to the Constitution of India as by law established and that I will faithfully discharge the duty upon which I am about to enter",-10.246166926574707,26,0
freedom of religion,33,"33. Power of Parliament to modify the rights conferred by this Part in their application etc Parliament may, by law, determine to what extent any of the rights conferred by this Part shall, in their application to,",-10.359751547241212,27,0
freedom of religion,159,"159. Oath or affirmation by Governor Every Governor and every person discharging the functions of the Governor shall, before entering upon his office, make and subscribe in the presence of the chief Justice of the High Court exercising jurisdiction in relation to the State, or, in his absence, the senior most Judge of that court available, an oath or affirmation in the following form, that is to say swear in the name of God I, A B, do that I solemnly affirm will faithfully execute the office of Governor (or discharge the functions of the Governor) of (name of the State) and will to the best of my ability preserve, protect and defend the Constitution and the law and that I will devote myself to the service and well being of the people of (name of the State)",-10.437602697753906,28,0
freedom of religion,60,"60. Oath or affirmation by the President Every President and every person acting as President or discharging the functions of the President shall, before entering upon his office, make and subscribe in the presence of the Chief Justice of India or, in his absence, the senior most Judge of the Supreme Court available, an oath or affirmation in the following form, that is to say swear in the name of God I, A B, do that I olemnly affirm will faithfully execute the office of President (or discharge the functions of thePresident) of India and will do the best of my ability preserve, protect and defend the Constitution and the law and that I will devote myself to the service and well being of the people of India",-10.614675270080566,29,0
freedom of religion,45,"45. Provision for free and compulsory education for children The State shall endeavour to provide, within a period of ten years from the commencement of this Constitution, for free and compulsory education for all children until they complete the age of fourteen years",-10.637689921569825,30,0
freedom of religion,355,355. Duty of the Union to protect States against external aggression and internal disturbance It shall be the duty of the Union to protect every State against external aggression and internal disturbance and to ensure that the government of every State is carried on in accordance with the provisions of this Constitution,-10.682698400878905,31,0
freedom of religion,11,11. Parliament to regulate the right of citizenship by law Nothing in the foregoing provisions of this Part shall derogate from the power of Parliament to make any provision with respect to the acquisition and termination of citizenship and all other matters relating to citizenship PART III FUNDAMENTAL RIGHTS General,-10.844735018920899,32,0
freedom of religion,161,"161. Power of Governor to grant pardons, etc, and to suspend, remit or commute sentences in certain cases The Governor of a State shall have the power to grant pardons, reprieves, respites or remissions of punishment or to suspend, remit or commute the sentence of any person convicted of any offence against any law relating to a matter to which the executive power of the State extends",-10.911859097290039,33,0
freedom of religion,361,361. A Protection of publication of proceedings of Parliament and State Legislature,-10.943434144592285,34,0
freedom of religion,121,121. Restriction on discussion in Parliament No discussions shall take place in Parliament with respect to the conduct of any Judge of the Supreme Court or of a High Court in the discharge of his duties expect upon a motion for presenting an address to the President praying for the removal of the Judge as hereinafter provided,-11.1526563079834,35,0
freedom of religion,72,"72. Power of President to grant pardons, etc, and to suspend, remit or commute sentences in certain cases",-11.176191055297851,36,0
freedom of religion,136,136. Special leave to appeal by the Supreme Court,-11.302529537963867,37,0
freedom of religion,289,289. Exemption of property and income of a State from Union taxation,-11.30683218383789,38,0
freedom of religion,310,310. Tenure of office of persons serving the Union or a State,-11.330177899169922,39,0
freedom of religion,71,"71. Matters relating to, or connected with, the election of a president or Vice President",-11.33096655883789,40,0
minority educational institutions,30,30. Right of minorities to establish and administer educational institutions,6.960946694946289,1,1
minority educational institutions,29,29. Protection of interests of minorities,1.5534038249969482,2,0
minority educational institutions,350,350. A Facilities for instruction in mother tongue at primary stage It shall be the endeavour of every State and of every local authority within the State to provide adequate facilities for instruction in the mother tongue at the primary stage of education to children belonging to linguistic minority groups; and the President may issue such directions to any State as he considers necessary or proper for securing the provision of such facilities,-2.3535199825286863,3,0
minority educational institutions,28,28. Freedom as to attendance at religious instruction or religious worship in certain educational institutions,-5.39105166015625,4,0
minority educational institutions,337,"337. Special provision with respect to educational grants for the benefit of Anglo Indian community During the first three financial years after the commencement of this Constitution, the same grants, if any, shall be made by the Union and by each State for the benefit of the Anglo Indian community in respect of education as were made in the financial year ending on the thirty first day of March, 1948 During every succeeding period of three years the grants may be less by ten per cent than those for the immediately preceding period of three years: Provided that at the end of ten years from the commencement of this Constitution such grants, to the extent to which they are a special concession to the Anglo Indian community, shall cease: Provided further that no educational institution shall be entitled to receive any grant under this article unless at least forty per cent of annual admissions therein are made available to members of communities other than the Anglo Indian community",-6.234919850921631,5,0
minority educational institutions,350,350. B Special Officer for linguistic minorities,-7.97069805984497,6,0
minority educational institutions,171,171. Composition of the Legislative Councils,-8.318196560668945,7,0
minority educational institutions,46,"46. Promotion of educational and economic interests of Scheduled Castes, Scheduled Tribes and other weaker sections The State shall promote with special care the educational and economic interests of the weaker sections of the people, and, in particular, of the Scheduled Castes and the Scheduled Tribes, and shall protect them from social injustice and all forms of exploitation",-8.711752053833008,8,0
minority educational institutions,371D,371D. Special provisions with respect to the state of Andhra Pradesh,-9.0977444480896,9,0
minority educational institutions,16,16. Equality of opportunity in matters of public employment,-9.407178410339355,10,0
minority educational institutions,15,"15. Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth",-10.375945388793946,11,0
minority educational institutions,243D,243D. Reservation of seats,-10.668285345458985,12,0
minority educational institutions,45,"45. Provision for free and compulsory education for children The State shall endeavour to provide, within a period of ten years from the commencement of this Constitution, for free and compulsory education for all children until they complete the age of fourteen years",-10.722096774291993,13,0
minority educational institutions,41,"41. Right to work, to education and to public assistance in certain cases The State shall, within the limits of its economic capacity and development, make effective provision for securing the right to work, to education and to public assistance in cases of unemployment, old age, sickness and disablement, and in other cases of undeserved want",-10.740321214294434,14,0
minority educational institutions,340,340. Appointment of a Commission to investigate the conditions of backward classes,-10.784331198120118,15,0
minority educational institutions,26,"26. Freedom to manage religious affairs Subject to public order, morality and health, every religious denomination or any section thereof shall have the right",-10.814687350463867,16,0
minority educational institutions,371,371. Special provision with respect to the States of Maharashtra and Gujarat,-11.02833218536377,17,0
minority educational institutions,333,"333. Representation of the Anglo Indian community in the Legislative Assemblies of the States Notwithstanding anything in Article 170, the Governor of a State may, if he is of opinion that the Anglo Indian community needs representation in the Legislative Assembly of the State and is not adequately represented therein, nominate one member of that community to the Assembly",-11.150832147216796,18,0
minority educational institutions,331,"331. Representation of the Anglo Indian community in the Hose of the People Notwithstanding anything in Article 81, the President may, if he is of opinion that the Anglo Indian community is not adequately represented in the House of the people, nominate not more than two members of that community to the House of the People",-11.158446740722656,19,0
minority educational institutions,336,336. Special provision for Anglo Indian community in certain services,-11.200182150268555,20,0
minority educational institutions,335,"335. Claims of Scheduled Castes and Scheduled Tribes to services and posts The claims of the members of the Scheduled Castes and the Scheduled Tribes shall be taken into consideration, consistently with the maintenance of efficiency of administration, in the making of appointments to services and posts in connection with the affairs of the Union or of a State",-11.248903631591796,21,0
minority educational institutions,39A,39. A Equal justice and free legal aid,-11.328179342651367,22,0
minority educational institutions,232,"232. Omitted by the Constitution 7 th Amendment Act, 1956 CHAPTER VI SUBORDINATE COURTS",-11.350813336181641,23,0
minority educational institutions,329,329. A Special provision as to elections to Parliament in the case of Prime Minister and Speaker Omitted PART XVI SPECIAL PROVISIONS RELATING TO CERTAIN CLASSES,-11.361989845275879,24,0
minority educational institutions,244,244. Administration of Scheduled Areas and Tribal Areas,-11.412839254760742,25,0
minority educational institutions,341,341. Scheduled Castes,-11.427091818237304,26,0
minority educational institutions,334,"334. Reservation of seats and special representation to cease after forty years Notwithstanding anything in the foregoing provisions of this Part, the provisions of Constitution relating to",-11.45218557434082,27,0
minority educational institutions,338,"338. Special Officer for Scheduled Castes, Scheduled Tribes etc",-11.474937467956543,28,0
minority educational institutions,371G,"371G. Special provision with respect to the State of Mizoram Notwithstanding anything in this Constitution,",-11.500434625244141,29,0
minority educational institutions,339,339. Control of the Union over the administration of Scheduled Areas and the welfare of Scheduled Tribes,-11.503873550415038,30,0
minority educational institutions,342,342. Scheduled Tribes,-11.531402676391602,31,0
minority educational institutions,243T,243T. Reservation of seats,-11.53741676940918,32,0
minority educational institutions,332,332. Reservation of seats for Scheduled Castes and Scheduled Tribes in the Legislative Assemblies of the States,-11.587829280090332,33,0
minority educational institutions,243Z,243Z. C Part not to apply to certain areas,-11.618457568359375,34,0
minority educational institutions,330,330. Reservation of seats for Scheduled Castes and Scheduled Tribes in the House of the People,-11.706607598876953,35,0
minority educational institutions,102,102. Disqualification s for membership,-11.7083054397583,36,0
minority educational institutions,191,191. Disqualifications for membership,-11.724857257080078,37,0
minority educational institutions,243M,243M. Part not to apply to certain areas,-11.76181245727539,38,0
minority educational institutions,243Q,243Q. Constitution of Municipalities,-11.829511026000976,39,0
minority educational institutions,371F,"371F. Special provisions with respect to the State of Sikkim Notwithstanding anything in this Constitution,",-12.205434297180176,40,0
right to constitutional remedies,32,32. Remedies for enforcement of rights conferred by this Part,2.4219504020690916,1,1
right to constitutional remedies,19,19. Protection of certain rights regarding freedom of speech etc,-5.783604972076416,2,0
right to constitutional remedies,356,356. Provisions in case of failure of constitutional machinery in State,-6.951942631530762,3,0
right to constitutional remedies,41,"41. Right to work, to education and to public assistance in certain cases The State shall, within the limits of its economic capacity and development, make effective provision for securing the right to work, to education and to public assistance in cases of unemployment, old age, sickness and disablement, and in other cases of undeserved want",-7.508318002319336,4,0
right to constitutional remedies,368,368. Power of Parliament to amend the Constitution and procedure therefor,-8.554796794891358,5,0
right to constitutional remedies,22,22. Protection against arrest and detention in certain cases,-8.72385094909668,6,0
right to constitutional remedies,374,"374. Provisions as to Judges of the Federal Court and proceedings pending in the Federal Court or before His Majesty in Council ( 1 ) The Judges of the Federal Court holding office immediately before the commencement of this Constitution shall, unless they have elected otherwise, become on such commencement the Judges of the Supreme Court and shall thereupon be entitled to such salaries and allowances and to such rights in respect of leave of absence and pension as are provided for under Article 125 in respect of the Judges of the Supreme Court",-8.771534780883789,7,0
right to constitutional remedies,312A,312A. Power of Parliament to vary or revoke conditions of service of officers of certain services,-9.060513975524902,8,0
right to constitutional remedies,225,"225. Jurisdiction of existing High Courts Subject to the provisions of this Constitution and to the provisions of any law of the appropriate Legislature made by virtue of powers conferred on that Legislature by this Constitution, the jurisdiction of, and the law administered in, any existing High Court, and the respective powers of the Judges thereof in relation to the administration of justice in the Court, including any power to make rules of Court and to regulate the sittings of the Court and of members thereof sitting alone or in Division Courts, shall be the same as immediately before the commencement of this Constitution: Provided that any restriction to which the exercise of original jurisdiction by any of the High Courts with respect to any matter concerning the revenue or concerning any act ordered or done in the collection thereof was subject immediately before the commencement of this Constitution shall no longer apply to the exercise of such jurisdiction",-9.106097023010253,9,0
right to constitutional remedies,309,"309. Recruitment and conditions of service of persons serving the Union or a State Subject to the provisions of this Constitution, Acts of the appropriate Legislature may regulate the recruitment, and conditions of service of persons appointed, to public services and posts in connection with the affairs of the Union or of any State: Provided that it shall be competent for the President or such person as he may direct in the case of services and posts in connection with the affairs of the Union, and for the Governor of a State or such person as he may direct in the case of services and posts in connection with the affairs of the State, to make rules regulating the recruitment, and the conditions of service of persons appointed, to such services and posts until provision in that behalf is made by or under an Act of the appropriate Legislature under this article, and any rules so made shall have effect subject to the provisions of any such Act",-9.454340554809571,10,0
right to constitutional remedies,369,"369. Temporary power to Parliament to make laws with respect to certain matters in the State List as if they were matters in the Concurrent List Notwithstanding anything in this Constitution, Parliament shall, during a period of five years from the commencement of this constitution, have power to make laws with respect to the following matters as if they were enumerated in the Concurrent List, namely:",-9.458216235351562,11,0
right to constitutional remedies,145,"145. Rules of Court, etc",-9.481690489196778,12,0
